Equipa Médica,Número de Consultas,Data Consulta
PD,7,2024-01-17
Não Aplicável - NA,9,2023-10-20
Não Aplicável - NA,9,2023-04-27
Não Aplicável - NA,15,2023-09-14
PD,11,2023-05-20
SM,13,2024-04-06
SM,6,2023-07-19
PD,15,2023-10-09
MJG,6,2024-01-26
MJG,11,2023-08-31
MJG,6,2023-08-17
PD,6,2023-07-31
MJG,15,2024-02-23
SM,13,2023-08-26
PM,9,2023-07-17
PD,14,2024-01-26
Não Aplicável - NA,14,2023-10-10
Não Aplicável - NA,10,2023-06-28
PM,15,2023-04-17
MJG,9,2023-07-13
PM,15,2023-06-04
MJG,9,2023-10-24
PM,14,2023-08-01
Não Aplicável - NA,14,2023-11-06
PD,9,2023-09-12
PM,6,2023-06-04
MJG,5,2024-01-29
Não Aplicável - NA,5,2023-10-05
MJG,15,2024-03-19
PM,14,2023-08-28
MJG,15,2024-03-31
Não Aplicável - NA,14,2023-07-22
MJG,8,2023-06-01
PM,6,2024-04-12
PD,14,2023-10-01
SM,10,2023-05-14
PD,6,2023-07-28
PM,14,2024-04-12
Não Aplicável - NA,9,2023-10-06
SM,10,2023-09-26
MJG,8,2024-03-12
MJG,12,2023-09-14
Não Aplicável - NA,13,2023-08-10
PD,5,2024-01-23
Não Aplicável - NA,8,2024-03-24
SM,9,2023-06-30
MJG,15,2024-03-07
PM,10,2024-02-25
PD,15,2023-12-23
SM,7,2023-04-17
MJG,15,2023-09-23
PD,10,2024-03-28
SM,6,2023-09-20
SM,13,2023-04-20
SM,15,2023-04-16
PM,9,2023-12-04
PD,13,2023-04-28
Não Aplicável - NA,9,2023-06-06
MJG,9,2023-09-14
Não Aplicável - NA,8,2023-11-24
SM,15,2023-05-18
SM,13,2023-07-21
PD,5,2024-01-19
PD,8,2024-03-01
PD,14,2023-04-18
PM,8,2023-06-26
SM,12,2023-05-19
SM,6,2023-09-15
SM,12,2023-08-10
PM,8,2023-11-09
PM,12,2023-09-06
Não Aplicável - NA,7,2023-10-11
PD,12,2023-12-18
SM,6,2023-12-07
PM,6,2023-09-20
PM,6,2023-06-23
MJG,6,2023-06-19
PD,9,2023-06-08
Não Aplicável - NA,5,2024-01-23
Não Aplicável - NA,10,2023-08-23
MJG,11,2023-11-30
Não Aplicável - NA,6,2023-08-27
PD,11,2024-01-06
SM,10,2023-09-14
SM,8,2023-04-25
PD,11,2023-06-02
PM,7,2023-04-20
Não Aplicável - NA,14,2023-07-26
PM,8,2024-02-12
MJG,7,2023-07-20
Não Aplicável - NA,12,2023-10-24
PD,8,2023-05-12
PD,14,2024-02-13
Não Aplicável - NA,14,2023-06-06
PM,7,2023-05-27
PD,5,2023-08-18
SM,6,2023-10-12
Não Aplicável - NA,11,2023-05-29
PM,15,2023-07-28
SM,10,2023-05-10
Não Aplicável - NA,10,2023-07-10
SM,6,2023-08-08
Não Aplicável - NA,11,2023-06-18
SM,8,2023-04-24
PD,13,2023-04-23
Não Aplicável - NA,9,2024-02-02
MJG,5,2023-06-27
SM,8,2024-02-18
PM,14,2023-05-30
MJG,7,2023-12-11
Não Aplicável - NA,15,2023-11-02
PM,8,2023-09-18
Não Aplicável - NA,13,2024-02-26
MJG,10,2024-02-28
SM,15,2023-04-23
Não Aplicável - NA,13,2024-01-26
PD,14,2024-02-09
MJG,14,2024-04-05
PM,15,2023-12-25
SM,9,2023-11-04
PM,9,2024-03-07
PD,14,2023-10-11
Não Aplicável - NA,8,2024-03-19
PM,14,2023-06-21
Não Aplicável - NA,7,2023-12-24
PM,7,2024-03-11
SM,7,2024-02-23
MJG,15,2023-11-16
SM,12,2023-07-24
MJG,5,2023-07-24
MJG,10,2023-10-01
PM,6,2023-08-20
MJG,12,2023-07-07
PD,15,2023-08-17
MJG,11,2023-06-11
MJG,8,2023-10-30
PD,14,2024-01-16
PM,12,2023-10-20
SM,10,2023-06-01
Não Aplicável - NA,10,2023-10-14
SM,14,2023-07-14
PM,8,2023-11-28
PD,12,2023-04-20
PM,5,2023-09-06
SM,15,2024-02-29
Não Aplicável - NA,9,2024-03-04
SM,6,2024-04-08
PD,10,2024-04-14
SM,7,2023-07-23
PD,12,2024-03-11
PM,5,2023-05-03
PD,7,2024-04-09
PM,5,2023-07-01
MJG,9,2024-02-14
PM,6,2023-10-10
PM,7,2024-01-05
SM,5,2023-11-18
Não Aplicável - NA,5,2023-05-02
SM,6,2023-07-18
MJG,5,2023-12-23
PD,5,2023-05-28
MJG,11,2023-07-12
MJG,13,2023-10-19
SM,13,2023-05-24
MJG,8,2023-11-25
SM,11,2024-01-22
Não Aplicável - NA,15,2023-08-14
PM,15,2024-04-06
Não Aplicável - NA,9,2023-12-03
Não Aplicável - NA,5,2024-03-24
SM,13,2024-03-07
Não Aplicável - NA,8,2023-12-19
SM,10,2024-03-04
SM,10,2023-05-14
MJG,10,2024-02-10
MJG,14,2024-03-29
MJG,8,2024-02-25
MJG,9,2024-02-09
MJG,5,2023-09-15
Não Aplicável - NA,8,2023-11-09
SM,13,2023-08-10
PM,12,2023-08-27
MJG,12,2023-10-16
PD,13,2023-12-28
MJG,11,2023-09-04
SM,13,2023-06-03
SM,15,2023-07-12
MJG,13,2023-12-21
PM,14,2024-03-09
MJG,7,2023-04-26
PD,6,2023-05-29
MJG,15,2023-10-10
SM,12,2024-04-14
MJG,11,2023-06-23
SM,8,2023-08-27
SM,9,2023-08-15
PM,15,2023-05-28
SM,13,2023-06-30
SM,13,2024-01-30
PM,5,2023-09-23
PD,9,2023-11-17
PM,5,2024-03-11
PM,7,2023-05-02
PD,9,2024-02-18
PM,8,2023-08-09
PM,13,2023-10-16
MJG,14,2023-10-03
PD,11,2023-05-24
MJG,9,2023-05-06
PD,7,2023-06-09
MJG,5,2023-04-24
PD,11,2023-06-22
Não Aplicável - NA,15,2023-09-23
PM,11,2024-02-24
PD,12,2023-10-15
PM,9,2023-09-06
Não Aplicável - NA,6,2023-05-17
SM,15,2023-10-25
Não Aplicável - NA,12,2023-08-29
MJG,15,2023-04-22
MJG,13,2023-05-25
PD,6,2023-12-07
SM,14,2023-09-14
SM,13,2023-06-20
PM,11,2023-07-31
SM,15,2023-04-18
MJG,5,2023-09-11
MJG,10,2023-05-12
Não Aplicável - NA,11,2024-03-15
Não Aplicável - NA,10,2023-10-14
MJG,10,2023-10-18
SM,15,2023-12-15
PD,12,2023-10-31
SM,15,2024-01-25
SM,9,2023-04-28
PD,6,2023-09-20
PD,11,2023-11-29
MJG,12,2023-08-31
Não Aplicável - NA,14,2023-08-01
PM,12,2023-09-26
SM,7,2023-06-24
SM,7,2023-11-17
PD,7,2023-10-11
PD,13,2023-04-27
PM,9,2023-12-30
PM,10,2023-09-12
PM,7,2024-03-27
MJG,6,2023-11-30
MJG,5,2023-08-22
PD,9,2024-04-14
MJG,14,2024-02-28
SM,13,2023-07-13
PD,14,2023-08-07
SM,8,2023-11-21
MJG,10,2023-11-09
SM,12,2024-01-06
Não Aplicável - NA,14,2024-02-15
Não Aplicável - NA,10,2023-05-09
PD,13,2023-09-15
Não Aplicável - NA,9,2023-09-05
Não Aplicável - NA,10,2023-09-12
MJG,15,2023-05-16
Não Aplicável - NA,12,2023-12-10
MJG,14,2023-08-08
PD,7,2023-06-12
SM,14,2023-08-15
Não Aplicável - NA,11,2023-11-03
Não Aplicável - NA,15,2023-07-12
Não Aplicável - NA,15,2023-12-30
PM,7,2024-03-11
PD,12,2023-07-24
PM,13,2023-12-17
MJG,9,2023-06-10
MJG,11,2023-07-07
PM,10,2023-09-12
PD,9,2023-06-04
Não Aplicável - NA,5,2024-01-15
PD,11,2024-04-13
PM,8,2023-06-14
Não Aplicável - NA,12,2023-04-23
Não Aplicável - NA,7,2023-05-05
PM,9,2023-04-19
PM,8,2024-01-16
MJG,11,2023-08-31
SM,13,2023-12-31
MJG,7,2024-03-27
PM,8,2024-02-29
SM,12,2024-02-14
SM,13,2023-09-16
PD,6,2023-10-24
MJG,15,2023-12-30
Não Aplicável - NA,5,2023-07-14
SM,13,2023-10-13
Não Aplicável - NA,11,2023-09-28
PD,9,2023-09-12
MJG,13,2023-10-11
MJG,5,2023-04-28
PM,15,2023-07-28
MJG,7,2024-02-29
PM,14,2023-09-27
PM,7,2023-08-16
PM,11,2023-05-03
Não Aplicável - NA,13,2023-05-12
PD,15,2023-08-20
Não Aplicável - NA,13,2023-10-30
SM,15,2024-03-22
SM,10,2023-12-22
PD,11,2023-11-23
PM,6,2023-10-14
SM,12,2023-10-17
SM,15,2023-05-27
Não Aplicável - NA,9,2023-10-05
MJG,6,2024-02-27
SM,9,2023-06-25
Não Aplicável - NA,5,2023-12-15
Não Aplicável - NA,8,2023-06-02
PM,11,2023-07-04
Não Aplicável - NA,10,2024-01-03
PM,6,2024-01-04
SM,10,2023-06-06
Não Aplicável - NA,10,2023-12-25
PM,5,2023-05-09
MJG,7,2023-06-23
SM,11,2023-07-07
PD,5,2023-12-24
MJG,5,2024-02-22
SM,5,2023-09-23
Não Aplicável - NA,14,2023-10-04
PM,7,2023-06-03
PD,8,2023-11-19
PD,9,2024-03-04
PD,15,2024-01-20
Não Aplicável - NA,10,2024-03-25
Não Aplicável - NA,5,2023-05-19
SM,14,2023-05-18
SM,12,2023-12-03
PM,11,2023-10-06
PM,10,2023-05-03
PD,8,2024-04-10
MJG,14,2023-08-06
PM,11,2024-03-02
SM,6,2024-02-03
PD,15,2023-07-07
MJG,12,2023-09-18
MJG,7,2023-11-19
SM,8,2023-08-17
PM,5,2023-06-02
PM,12,2023-07-04
MJG,10,2023-05-29
Não Aplicável - NA,15,2023-10-06
PD,5,2023-05-10
Não Aplicável - NA,13,2024-01-22
SM,15,2023-12-18
SM,5,2023-06-25
SM,5,2024-01-22
PD,6,2023-09-30
PD,5,2024-03-04
SM,11,2024-02-14
SM,14,2024-02-15
PM,7,2024-01-05
SM,6,2024-01-08
SM,10,2023-10-20
PD,10,2023-09-10
Não Aplicável - NA,8,2024-04-05
SM,15,2023-06-06
MJG,5,2023-10-21
Não Aplicável - NA,8,2023-07-31
SM,12,2023-06-02
PM,5,2024-04-06
PD,9,2023-06-25
Não Aplicável - NA,10,2024-02-14
SM,13,2024-01-20
PM,11,2023-05-11
MJG,10,2023-07-20
SM,14,2023-04-18
PD,6,2024-02-23
PD,7,2023-04-24
SM,9,2023-05-27
PM,15,2024-03-25
Não Aplicável - NA,9,2023-04-23
MJG,10,2024-01-21
Não Aplicável - NA,10,2023-10-29
MJG,6,2024-04-09
MJG,9,2024-01-10
PM,14,2024-02-07
Não Aplicável - NA,15,2023-09-13
Não Aplicável - NA,9,2023-06-18
MJG,9,2023-11-08
MJG,5,2024-02-09
PM,11,2023-05-24
SM,5,2023-11-30
PM,5,2023-11-22
PM,14,2024-01-09
PD,12,2023-11-03
MJG,13,2023-12-12
MJG,9,2024-03-07
MJG,9,2023-06-02
MJG,10,2023-06-26
Não Aplicável - NA,11,2023-07-29
PD,5,2023-11-08
MJG,7,2023-09-22
PM,7,2023-11-27
MJG,11,2023-11-05
MJG,8,2023-12-19
PD,12,2023-08-22
PD,12,2023-09-30
PM,14,2023-07-18
PD,14,2024-03-16
Não Aplicável - NA,9,2023-12-23
PD,11,2023-08-08
PD,7,2023-07-19
MJG,11,2023-04-16
SM,6,2023-06-30
MJG,15,2023-10-22
SM,9,2023-11-16
PD,15,2023-12-06
PD,11,2024-04-12
Não Aplicável - NA,11,2024-03-04
PM,5,2023-07-17
SM,6,2023-12-09
Não Aplicável - NA,8,2023-09-11
PM,14,2023-11-15
PM,5,2024-03-19
PD,9,2023-06-02
PD,10,2024-04-07
SM,5,2024-03-18
MJG,8,2023-08-24
MJG,14,2024-01-19
Não Aplicável - NA,13,2023-05-31
SM,14,2023-07-25
MJG,14,2023-11-17
SM,8,2023-08-01
MJG,5,2023-06-11
MJG,15,2023-09-07
Não Aplicável - NA,11,2023-04-28
MJG,5,2023-09-09
Não Aplicável - NA,14,2023-06-12
PD,13,2023-07-21
PD,5,2023-12-12
SM,6,2023-09-25
PM,14,2024-03-06
Não Aplicável - NA,5,2023-08-30
SM,13,2023-07-29
PD,14,2023-08-20
MJG,8,2023-04-29
PM,6,2023-10-07
Não Aplicável - NA,13,2024-03-31
PD,12,2023-10-25
MJG,11,2023-12-28
PM,8,2023-10-15
PM,5,2024-04-12
SM,8,2023-07-13
MJG,6,2024-03-07
MJG,10,2023-12-04
MJG,6,2023-05-07
Não Aplicável - NA,5,2023-07-13
PD,8,2023-06-28
Não Aplicável - NA,12,2024-01-05
MJG,8,2023-10-24
SM,13,2024-01-25
MJG,6,2024-03-12
SM,9,2023-08-03
MJG,10,2023-12-15
PM,15,2024-01-25
PD,15,2023-10-05
PM,13,2023-12-19
Não Aplicável - NA,15,2023-08-19
PM,13,2023-10-23
Não Aplicável - NA,5,2024-02-14
Não Aplicável - NA,9,2023-07-26
MJG,10,2023-07-08
PM,14,2023-08-18
Não Aplicável - NA,13,2023-04-29
SM,5,2023-07-07
Não Aplicável - NA,15,2024-02-19
Não Aplicável - NA,14,2023-12-20
MJG,11,2023-12-28
PM,5,2023-11-26
SM,10,2023-08-09
SM,5,2023-12-18
PD,8,2023-12-10
SM,15,2023-08-03
SM,15,2024-03-13
SM,6,2023-06-12
MJG,8,2023-12-31
PM,14,2023-05-08
SM,6,2023-07-18
MJG,13,2023-08-03
PM,5,2023-08-26
SM,15,2023-09-22
SM,15,2023-07-20
MJG,8,2023-06-30
PM,14,2024-01-16
Não Aplicável - NA,15,2023-05-16
PD,15,2023-09-21
PD,12,2024-01-21
MJG,12,2024-01-05
MJG,11,2024-02-25
PD,5,2023-05-09
PM,9,2023-05-26
PD,15,2024-01-06
PM,10,2024-01-15
MJG,7,2023-04-16
Não Aplicável - NA,6,2023-09-19
SM,8,2024-01-05
Não Aplicável - NA,9,2023-12-16
Não Aplicável - NA,6,2023-10-03
SM,5,2024-02-26
SM,11,2024-02-29
PM,15,2024-02-12
Não Aplicável - NA,9,2023-05-31
MJG,15,2023-10-12
PD,9,2023-08-09
Não Aplicável - NA,12,2023-09-14
PD,8,2024-02-20
MJG,11,2023-11-10
PD,12,2023-04-22
PM,12,2024-01-03
SM,14,2023-09-07
MJG,15,2023-04-23
PD,9,2023-05-31
MJG,10,2023-04-23
Não Aplicável - NA,5,2024-01-22
Não Aplicável - NA,9,2024-01-12
SM,14,2023-09-14
Não Aplicável - NA,8,2023-07-01
SM,10,2023-12-01
MJG,6,2024-04-06
MJG,14,2023-04-22
PD,13,2023-04-20
SM,14,2024-01-26
PD,14,2024-02-10
MJG,9,2023-10-20
Não Aplicável - NA,14,2023-08-31
PD,13,2023-07-15
PD,15,2023-07-26
MJG,10,2023-10-04
PD,5,2023-08-27
Não Aplicável - NA,8,2024-01-12
SM,7,2023-04-21
PD,7,2023-06-13
PM,15,2023-06-28
SM,10,2023-05-25
PM,8,2023-04-17
SM,10,2023-12-13
PM,12,2024-01-20
SM,13,2024-04-05
MJG,7,2024-04-12
SM,6,2023-10-22
Não Aplicável - NA,13,2024-03-25
PD,13,2023-09-29
PM,10,2023-07-21
Não Aplicável - NA,9,2023-04-27
MJG,5,2023-09-04
SM,7,2024-02-01
Não Aplicável - NA,12,2023-11-16
MJG,13,2023-08-27
PD,13,2023-05-07
MJG,15,2023-07-05
SM,7,2023-07-21
MJG,12,2023-10-05
Não Aplicável - NA,7,2023-12-27
PD,15,2023-09-15
Não Aplicável - NA,14,2023-11-27
PM,7,2023-05-14
PD,10,2023-09-17
SM,11,2024-02-09
MJG,10,2023-05-16
Não Aplicável - NA,7,2023-08-23
Não Aplicável - NA,7,2023-06-03
MJG,10,2024-02-25
PD,7,2023-09-17
MJG,10,2024-03-07
MJG,7,2023-11-19
PD,13,2023-10-10
Não Aplicável - NA,8,2024-01-28
Não Aplicável - NA,10,2023-08-09
MJG,11,2023-08-24
MJG,7,2023-12-29
PD,12,2024-01-21
PM,9,2023-06-24
MJG,12,2023-05-12
MJG,11,2024-02-01
PM,5,2023-06-10
PM,8,2023-05-17
SM,13,2023-12-19
MJG,12,2023-12-25
Não Aplicável - NA,15,2023-08-19
PD,14,2024-01-12
Não Aplicável - NA,15,2024-03-01
PD,10,2023-11-01
MJG,15,2024-04-08
Não Aplicável - NA,14,2023-08-03
PD,13,2023-11-05
PD,13,2023-05-12
PM,14,2024-01-18
SM,14,2024-02-27
MJG,15,2023-08-03
PD,15,2023-05-07
MJG,5,2023-12-29
PM,8,2024-04-01
Não Aplicável - NA,11,2023-10-08
MJG,13,2024-03-12
PD,12,2024-01-01
MJG,15,2023-12-15
PM,11,2023-12-30
PM,14,2023-10-09
PD,13,2023-10-19
MJG,11,2024-03-08
MJG,12,2023-08-13
Não Aplicável - NA,12,2023-07-13
PM,10,2023-09-23
SM,6,2023-05-20
Não Aplicável - NA,10,2023-07-29
SM,7,2023-11-04
SM,14,2023-06-16
SM,8,2023-08-09
PD,11,2023-10-15
Não Aplicável - NA,11,2023-12-04
PD,9,2024-04-10
MJG,10,2024-03-02
SM,11,2023-06-14
Não Aplicável - NA,6,2024-02-12
SM,15,2023-11-27
MJG,12,2024-01-03
PM,11,2023-12-25
SM,14,2023-06-05
PM,15,2024-01-25
SM,12,2023-08-17
Não Aplicável - NA,14,2023-04-25
MJG,14,2023-06-01
Não Aplicável - NA,6,2023-05-23
SM,7,2023-08-19
PM,9,2023-08-08
PD,9,2024-01-25
PM,13,2023-11-17
SM,8,2023-07-14
PM,12,2023-05-22
PM,9,2024-02-16
SM,13,2024-03-29
SM,8,2023-07-15
PD,13,2023-09-15
PD,6,2024-01-11
SM,13,2023-06-02
PM,15,2023-05-04
SM,12,2023-11-08
PD,6,2023-11-22
MJG,9,2023-09-01
MJG,6,2023-10-20
MJG,9,2023-04-22
SM,6,2023-10-01
SM,8,2023-09-10
SM,6,2024-01-14
PD,8,2023-07-12
SM,8,2023-11-25
PM,5,2023-06-14
SM,7,2023-06-08
Não Aplicável - NA,7,2023-10-04
Não Aplicável - NA,6,2024-03-16
Não Aplicável - NA,12,2023-12-13
PM,6,2024-03-26
SM,15,2023-09-28
PD,14,2023-10-07
Não Aplicável - NA,6,2023-06-21
PD,10,2023-10-13
PM,15,2023-11-11
MJG,12,2023-09-25
PM,14,2023-07-16
MJG,9,2023-09-15
Não Aplicável - NA,15,2023-10-27
Não Aplicável - NA,15,2024-01-21
PD,8,2023-08-08
Não Aplicável - NA,5,2023-06-16
Não Aplicável - NA,13,2023-08-12
PD,9,2024-03-15
PD,13,2024-01-23
Não Aplicável - NA,5,2023-06-29
SM,7,2023-04-22
Não Aplicável - NA,15,2023-08-20
MJG,6,2024-03-15
Não Aplicável - NA,13,2024-01-05
PD,13,2024-04-01
PD,12,2023-05-02
SM,15,2023-10-08
MJG,12,2024-03-28
PM,15,2023-12-09
PM,9,2024-01-28
SM,5,2023-10-04
SM,6,2023-08-29
PD,15,2024-03-31
MJG,10,2023-05-29
PD,5,2023-06-03
MJG,6,2023-05-08
Não Aplicável - NA,9,2023-08-21
PM,13,2023-07-19
MJG,5,2024-01-11
SM,5,2024-02-16
PM,13,2023-07-08
PM,8,2023-09-01
PD,10,2023-04-24
PD,7,2023-07-29
SM,6,2023-07-28
Não Aplicável - NA,5,2023-06-18
Não Aplicável - NA,14,2023-08-15
Não Aplicável - NA,8,2024-04-08
MJG,10,2023-07-06
SM,11,2024-01-22
MJG,15,2023-05-24
Não Aplicável - NA,13,2023-10-13
PM,9,2023-06-05
Não Aplicável - NA,14,2023-04-26
PM,10,2023-12-24
SM,5,2024-01-04
PM,11,2023-06-03
Não Aplicável - NA,5,2024-01-05
SM,6,2024-01-24
PM,8,2024-01-03
SM,15,2023-10-21
Não Aplicável - NA,13,2024-01-06
Não Aplicável - NA,10,2023-09-12
Não Aplicável - NA,11,2023-11-29
Não Aplicável - NA,8,2023-08-12
Não Aplicável - NA,10,2024-04-05
MJG,13,2024-01-27
PM,6,2024-02-14
PM,7,2023-07-03
SM,13,2023-08-05
SM,9,2023-07-31
PM,13,2023-11-07
PM,14,2024-03-16
MJG,6,2023-04-19
SM,13,2023-05-15
Não Aplicável - NA,14,2023-12-04
Não Aplicável - NA,15,2023-11-26
Não Aplicável - NA,5,2023-10-16
PM,9,2023-12-08
PD,13,2024-02-11
PD,11,2023-12-26
SM,15,2024-02-10
SM,8,2024-02-08
PM,11,2023-10-25
Não Aplicável - NA,5,2024-01-05
SM,10,2024-02-24
MJG,12,2024-01-06
PM,13,2023-07-26
Não Aplicável - NA,13,2023-08-22
SM,9,2023-11-24
PM,6,2023-08-28
PD,15,2023-11-12
MJG,15,2023-08-22
SM,12,2024-01-29
MJG,6,2023-07-24
SM,14,2023-10-14
MJG,11,2023-04-26
SM,12,2023-08-06
MJG,7,2023-11-17
Não Aplicável - NA,15,2024-04-05
MJG,7,2023-08-03
MJG,9,2023-07-07
PD,14,2024-01-27
MJG,10,2023-08-31
PD,9,2023-08-23
PM,13,2023-05-17
PM,10,2024-01-08
MJG,7,2023-11-02
MJG,6,2023-11-17
PM,15,2023-06-01
SM,11,2023-10-27
MJG,9,2023-06-27
PD,10,2023-08-19
Não Aplicável - NA,7,2023-06-29
Não Aplicável - NA,14,2024-02-29
PM,14,2024-01-05
Não Aplicável - NA,9,2023-05-04
Não Aplicável - NA,6,2023-04-16
MJG,7,2023-04-24
PD,6,2024-04-06
Não Aplicável - NA,7,2023-10-23
PD,13,2023-10-19
PM,14,2023-06-02
PD,13,2023-09-05
SM,6,2023-11-15
SM,14,2023-06-03
PD,5,2023-08-14
PM,8,2023-06-16
Não Aplicável - NA,14,2024-02-12
SM,7,2023-12-06
Não Aplicável - NA,9,2023-08-29
MJG,14,2024-02-23
PM,12,2024-03-06
SM,7,2023-08-24
SM,14,2023-11-28
MJG,5,2024-03-11
SM,13,2023-10-21
PM,10,2024-02-12
PD,8,2023-10-17
SM,7,2023-07-19
Não Aplicável - NA,9,2023-12-18
SM,8,2023-12-01
PD,8,2023-05-14
PM,11,2023-10-22
SM,9,2023-09-10
PD,10,2023-08-23
PM,6,2024-03-15
PM,9,2023-08-12
PD,8,2024-01-12
PM,12,2023-08-23
SM,14,2024-01-29
MJG,8,2023-07-28
Não Aplicável - NA,5,2023-04-20
SM,8,2023-06-06
Não Aplicável - NA,12,2023-10-16
SM,14,2023-06-03
SM,8,2023-11-09
PD,9,2023-11-23
PD,7,2024-02-16
MJG,11,2024-02-17
PD,11,2023-08-22
PM,15,2023-07-19
Não Aplicável - NA,11,2023-11-27
Não Aplicável - NA,15,2023-10-13
PM,12,2023-10-06
SM,9,2023-06-12
PM,6,2023-11-22
MJG,5,2024-01-16
Não Aplicável - NA,12,2023-07-11
SM,9,2023-11-14
PM,10,2023-10-31
PD,11,2023-08-20
MJG,10,2023-11-05
Não Aplicável - NA,10,2023-12-26
PD,9,2023-11-21
Não Aplicável - NA,12,2023-12-02
PD,9,2023-06-10
SM,6,2023-07-29
Não Aplicável - NA,15,2023-06-03
MJG,15,2023-07-16
SM,5,2024-03-11
MJG,15,2023-07-25
Não Aplicável - NA,13,2023-12-16
SM,11,2023-08-07
PD,12,2023-05-10
PM,14,2023-05-09
PM,11,2024-03-13
MJG,8,2024-02-28
PD,14,2024-01-17
SM,5,2024-01-21
SM,5,2023-09-20
PM,8,2023-09-04
MJG,5,2023-08-01
PM,10,2023-04-20
Não Aplicável - NA,7,2024-01-02
Não Aplicável - NA,11,2023-04-16
PD,11,2024-01-08
MJG,5,2023-11-21
Não Aplicável - NA,6,2023-06-29
PD,15,2023-11-27
SM,10,2023-09-29
MJG,6,2024-03-14
MJG,12,2023-08-10
PD,10,2023-09-26
MJG,5,2023-05-15
Não Aplicável - NA,6,2024-02-10
PM,9,2023-09-26
PD,6,2023-10-29
MJG,5,2024-01-03
MJG,13,2023-07-30
SM,14,2023-09-24
PD,5,2023-07-30
Não Aplicável - NA,7,2023-05-18
PM,13,2024-03-30
PM,11,2023-10-04
PM,13,2024-03-03
PD,7,2024-02-19
PD,10,2024-03-07
MJG,8,2024-04-08
PD,8,2023-06-27
Não Aplicável - NA,5,2024-02-11
PM,10,2023-11-25
PM,7,2023-10-06
PD,13,2024-01-18
PM,10,2024-04-06
Não Aplicável - NA,5,2024-01-18
Não Aplicável - NA,5,2023-11-05
MJG,5,2023-10-18
PD,7,2023-05-16
Não Aplicável - NA,10,2024-03-25
SM,7,2023-07-05
MJG,14,2023-05-06
PD,9,2023-11-10
PM,6,2024-02-29
PM,6,2024-01-07
Não Aplicável - NA,9,2023-12-01
MJG,7,2023-12-13
SM,12,2024-03-21
SM,13,2024-02-15
MJG,9,2023-07-22
MJG,13,2024-02-07
MJG,7,2023-12-24
PM,6,2023-07-27
PM,14,2023-07-12
SM,13,2023-06-06
PD,13,2024-03-03
Não Aplicável - NA,9,2023-12-15
PD,11,2024-01-02
SM,10,2023-06-06
SM,11,2024-04-07
Não Aplicável - NA,14,2023-10-31
PD,12,2023-10-04
PM,14,2023-06-22
MJG,8,2023-08-11
PD,12,2023-08-29
Não Aplicável - NA,8,2024-02-17
PM,15,2023-12-07
MJG,14,2023-08-14
SM,5,2023-11-20
Não Aplicável - NA,6,2023-07-05
MJG,8,2024-04-06
SM,6,2023-12-22
Não Aplicável - NA,11,2023-12-11
SM,14,2024-01-07
PM,7,2023-07-16
SM,9,2024-01-08
MJG,12,2023-11-07
PM,7,2023-07-03
PD,8,2023-08-12
MJG,15,2023-12-14
MJG,11,2023-09-09
PM,12,2023-04-24
MJG,7,2024-03-06
Não Aplicável - NA,6,2023-07-25
PM,10,2024-04-09
SM,11,2024-03-17
SM,7,2023-06-20
PD,14,2024-02-27
PM,14,2024-03-07
SM,8,2024-02-17
PD,15,2023-07-23
SM,14,2023-05-31
MJG,14,2023-11-27
PD,8,2024-04-05
PM,5,2024-02-23
PM,9,2023-11-21
SM,8,2023-12-12
Não Aplicável - NA,10,2023-05-29
SM,5,2023-10-08
SM,6,2023-07-03
SM,7,2023-07-15
PM,9,2023-12-01
MJG,15,2024-02-17
MJG,5,2024-01-22
PD,9,2024-03-24
Não Aplicável - NA,10,2023-06-29
PM,6,2024-02-08
PM,6,2023-06-01
PD,13,2023-06-01
MJG,15,2023-12-04
PD,13,2024-03-29
PD,11,2023-07-01
PM,13,2023-12-24
Não Aplicável - NA,8,2023-07-18
SM,8,2023-11-30
SM,14,2023-09-12
MJG,8,2023-05-28
PD,9,2023-07-05
PM,10,2023-04-21
SM,8,2023-04-19
SM,14,2023-10-10
SM,12,2024-02-25
PD,10,2023-10-03
PM,12,2023-11-12
MJG,5,2023-12-28
SM,5,2024-01-16
Não Aplicável - NA,13,2023-12-25
PM,9,2023-04-30
PD,10,2024-03-03
PD,9,2023-08-15
PM,10,2023-07-02
PM,11,2024-02-18
Não Aplicável - NA,9,2023-06-02
SM,11,2023-07-03
Não Aplicável - NA,8,2024-03-12
MJG,8,2023-07-11
Não Aplicável - NA,8,2024-02-12
SM,9,2023-08-03
SM,8,2023-07-30
MJG,5,2024-01-17
MJG,6,2024-03-06
Não Aplicável - NA,5,2024-03-17
PM,11,2023-04-29
PM,13,2023-07-05
PD,7,2023-11-22
Não Aplicável - NA,10,2023-10-24
PD,6,2023-09-15
PD,8,2024-02-28
PM,9,2023-09-10
PD,8,2023-12-12
Não Aplicável - NA,5,2024-01-31
Não Aplicável - NA,9,2023-08-22
SM,8,2023-12-11
PD,5,2023-06-16
Não Aplicável - NA,12,2023-05-03
SM,14,2023-11-17
PD,10,2024-01-03
MJG,10,2023-08-03
SM,15,2023-08-27
PM,10,2023-07-03
PM,15,2023-04-23
MJG,14,2023-04-26
SM,10,2024-02-02
Não Aplicável - NA,12,2023-06-20
MJG,10,2024-01-27
MJG,9,2023-12-02
Não Aplicável - NA,13,2024-04-05
